,model,label_size,data,accuracy/test,f1_macro/test,f1_micro/test,p_macro/test,p_micro/test,r_macro/test,r_micro/test,data_size/test,accuracy/val,f1_macro/val,f1_micro/val,p_macro/val,p_micro/val,r_macro/val,r_micro/val,data_size/val
0,relbert_output/ckpt/roberta_auto_c822/epoch_2,6,BLESS,0.4532168148259756,0.10395714532573008,0.4532168148259756,0.07553613580432926,0.4532168148259756,0.16666666666666666,0.4532168148259756,6637,0.4589299171062547,0.10485537190082644,0.4589299171062547,0.07648831951770911,0.4589299171062547,0.16666666666666666,0.4589299171062547,1327.0
1,relbert_output/ckpt/roberta_auto_c822/epoch_2,4,K&H+N,0.5485149892188913,0.28325302147911835,0.5485149892188913,0.27981263442091303,0.5485149892188913,0.303511564485318,0.5485149892188913,14377,0.5622392211404729,0.2890571154554715,0.5622392211404729,0.284878111114122,0.5622392211404729,0.3078827113480579,0.5622392211404729,2876.0
2,relbert_output/ckpt/roberta_auto_c822/epoch_2,7,EVALution,0.24864572047670638,0.0568949488689185,0.24864572047670638,0.03552081721095805,0.24864572047670638,0.14285714285714285,0.24864572047670638,1846,0.25268817204301075,0.05763335377069283,0.25268817204301075,0.03609831029185868,0.25268817204301075,0.14285714285714285,0.25268817204301075,372.0
3,relbert_output/ckpt/roberta_auto_c822/epoch_2,5,CogALexV,0.718075117370892,0.16718130892198388,0.718075117370892,0.1436150234741784,0.718075117370892,0.2,0.718075117370892,4260,,,,,,,,
4,relbert_output/ckpt/roberta_auto_c822/epoch_2,3,ROOT09,0.2535255405828894,0.13483333333333333,0.2535255405828894,0.0845085135276298,0.2535255405828894,0.3333333333333333,0.2535255405828894,3191,0.2335423197492163,0.12621770436255822,0.2335423197492163,0.07784743991640543,0.2335423197492163,0.3333333333333333,0.2335423197492163,638.0
5,relbert_output/ckpt/roberta_auto_c823/epoch_2,6,BLESS,0.4532168148259756,0.10395714532573008,0.4532168148259756,0.07553613580432926,0.4532168148259756,0.16666666666666666,0.4532168148259756,6637,0.4589299171062547,0.10485537190082644,0.4589299171062547,0.07648831951770911,0.4589299171062547,0.16666666666666666,0.4589299171062547,1327.0
6,relbert_output/ckpt/roberta_auto_c823/epoch_2,4,K&H+N,0.5485149892188913,0.28325302147911835,0.5485149892188913,0.27981263442091303,0.5485149892188913,0.303511564485318,0.5485149892188913,14377,0.5622392211404729,0.2890571154554715,0.5622392211404729,0.284878111114122,0.5622392211404729,0.3078827113480579,0.5622392211404729,2876.0
7,relbert_output/ckpt/roberta_auto_c823/epoch_2,7,EVALution,0.24864572047670638,0.0568949488689185,0.24864572047670638,0.03552081721095805,0.24864572047670638,0.14285714285714285,0.24864572047670638,1846,0.25268817204301075,0.05763335377069283,0.25268817204301075,0.03609831029185868,0.25268817204301075,0.14285714285714285,0.25268817204301075,372.0
8,relbert_output/ckpt/roberta_auto_c823/epoch_2,5,CogALexV,0.718075117370892,0.16718130892198388,0.718075117370892,0.1436150234741784,0.718075117370892,0.2,0.718075117370892,4260,,,,,,,,
9,relbert_output/ckpt/roberta_auto_c823/epoch_2,3,ROOT09,0.4907552491382012,0.21946605003153244,0.4907552491382011,0.16358508304606706,0.4907552491382012,0.3333333333333333,0.4907552491382012,3191,0.512539184952978,0.2259067357512953,0.512539184952978,0.170846394984326,0.512539184952978,0.3333333333333333,0.512539184952978,638.0
10,relbert_output/ckpt/roberta_auto_c832/epoch_2,6,BLESS,0.4532168148259756,0.10395714532573008,0.4532168148259756,0.07553613580432926,0.4532168148259756,0.16666666666666666,0.4532168148259756,6637,0.4589299171062547,0.10485537190082644,0.4589299171062547,0.07648831951770911,0.4589299171062547,0.16666666666666666,0.4589299171062547,1327.0
11,relbert_output/ckpt/roberta_auto_c832/epoch_2,4,K&H+N,0.5485149892188913,0.28325302147911835,0.5485149892188913,0.27981263442091303,0.5485149892188913,0.303511564485318,0.5485149892188913,14377,0.5622392211404729,0.2890571154554715,0.5622392211404729,0.284878111114122,0.5622392211404729,0.3078827113480579,0.5622392211404729,2876.0
12,relbert_output/ckpt/roberta_auto_c832/epoch_2,7,EVALution,0.2248104008667389,0.05244202944335629,0.2248104008667389,0.03211577155239127,0.2248104008667389,0.14285714285714285,0.2248104008667389,1846,0.24193548387096775,0.05565862708719852,0.24193548387096775,0.03456221198156682,0.24193548387096775,0.14285714285714285,0.24193548387096775,372.0
13,relbert_output/ckpt/roberta_auto_c832/epoch_2,5,CogALexV,0.718075117370892,0.16718130892198388,0.718075117370892,0.1436150234741784,0.718075117370892,0.2,0.718075117370892,4260,,,,,,,,
14,relbert_output/ckpt/roberta_auto_c832/epoch_2,3,ROOT09,0.2557192102789094,0.1357624157723983,0.2557192102789094,0.08523973675963648,0.2557192102789094,0.3333333333333333,0.2557192102789094,3191,0.25391849529780564,0.135,0.25391849529780564,0.08463949843260188,0.25391849529780564,0.3333333333333333,0.25391849529780564,638.0
15,relbert_output/ckpt/roberta_auto_c833/epoch_2,6,BLESS,0.9171312339912611,0.9117276492855892,0.9171312339912611,0.9094172809591144,0.9171312339912611,0.9166333122281548,0.9171312339912611,6637,0.9027882441597589,0.8891365733879636,0.9027882441597589,0.8879246064585028,0.9027882441597589,0.8946243829243982,0.9027882441597589,1327.0
16,relbert_output/ckpt/roberta_auto_c833/epoch_2,4,K&H+N,0.9728733393614801,0.9083285878147125,0.9728733393614801,0.9077745645532264,0.9728733393614801,0.909271896264043,0.9728733393614801,14377,0.9666203059805285,0.8909849639096706,0.9666203059805285,0.8868561583848874,0.9666203059805285,0.895761931962427,0.9666203059805285,2876.0
17,relbert_output/ckpt/roberta_auto_c833/epoch_2,7,EVALution,0.6608884073672806,0.6550334566088953,0.6608884073672806,0.6762349672808516,0.6608884073672806,0.6763008386914172,0.6608884073672806,1846,0.6854838709677419,0.6704331007594383,0.6854838709677419,0.6826991114716568,0.6854838709677419,0.6982360614731434,0.6854838709677419,372.0
18,relbert_output/ckpt/roberta_auto_c833/epoch_2,5,CogALexV,0.8389671361502348,0.6453073055080135,0.8389671361502348,0.7250621451953181,0.8389671361502348,0.6158725906887501,0.8389671361502348,4260,,,,,,,,
19,relbert_output/ckpt/roberta_auto_c833/epoch_2,3,ROOT09,0.8900031338138514,0.8834632995652664,0.8900031338138514,0.896526787728968,0.8900031338138514,0.8765107427933135,0.8900031338138514,3191,0.8934169278996865,0.8831220207381197,0.8934169278996865,0.8986585674800098,0.8934169278996865,0.8727686597173286,0.8934169278996865,638.0
20,relbert_output/ckpt/roberta_auto_c922/epoch_2,6,BLESS,0.4532168148259756,0.10395714532573008,0.4532168148259756,0.07553613580432926,0.4532168148259756,0.16666666666666666,0.4532168148259756,6637,0.4589299171062547,0.10485537190082644,0.4589299171062547,0.07648831951770911,0.4589299171062547,0.16666666666666666,0.4589299171062547,1327.0
21,relbert_output/ckpt/roberta_auto_c922/epoch_2,4,K&H+N,0.5485149892188913,0.28325302147911835,0.5485149892188913,0.27981263442091303,0.5485149892188913,0.303511564485318,0.5485149892188913,14377,0.5622392211404729,0.2890571154554715,0.5622392211404729,0.284878111114122,0.5622392211404729,0.3078827113480579,0.5622392211404729,2876.0
22,relbert_output/ckpt/roberta_auto_c922/epoch_2,7,EVALution,0.1744312026002167,0.042435424354243544,0.1744312026002167,0.024918743228602384,0.1744312026002167,0.14285714285714285,0.1744312026002167,1846,0.1935483870967742,0.04633204633204633,0.1935483870967742,0.027649769585253454,0.1935483870967742,0.14285714285714285,0.1935483870967742,372.0
23,relbert_output/ckpt/roberta_auto_c922/epoch_2,5,CogALexV,0.718075117370892,0.16718130892198388,0.718075117370892,0.1436150234741784,0.718075117370892,0.2,0.718075117370892,4260,,,,,,,,
24,relbert_output/ckpt/roberta_auto_c922/epoch_2,3,ROOT09,0.2535255405828894,0.13483333333333333,0.2535255405828894,0.0845085135276298,0.2535255405828894,0.3333333333333333,0.2535255405828894,3191,0.2335423197492163,0.12621770436255822,0.2335423197492163,0.07784743991640543,0.2335423197492163,0.3333333333333333,0.2335423197492163,638.0
25,relbert_output/ckpt/roberta_auto_c923/epoch_2,6,BLESS,0.8916679222540305,0.8893086747837556,0.8916679222540305,0.9019638546766536,0.8916679222540305,0.8850463958374183,0.8916679222540305,6637,0.8967596081386586,0.8928538521209327,0.8967596081386586,0.9009539629515211,0.8967596081386586,0.8927940632203518,0.8967596081386586,1327.0
26,relbert_output/ckpt/roberta_auto_c923/epoch_2,4,K&H+N,0.9628573415872574,0.8479075728038106,0.9628573415872574,0.949767294549682,0.9628573415872574,0.8103256950518831,0.9628573415872574,14377,0.9603616133518776,0.856834504871297,0.9603616133518776,0.9609858056504398,0.9603616133518776,0.8181129411018025,0.9603616133518776,2876.0
27,relbert_output/ckpt/roberta_auto_c923/epoch_2,7,EVALution,0.7058504875406284,0.6794400073259462,0.7058504875406284,0.7271892821941176,0.7058504875406284,0.6615002781876846,0.7058504875406284,1846,0.7043010752688172,0.6684614759222579,0.7043010752688172,0.7047000459984358,0.7043010752688172,0.6602611977687965,0.7043010752688172,372.0
28,relbert_output/ckpt/roberta_auto_c923/epoch_2,5,CogALexV,0.8568075117370892,0.6630481245285347,0.8568075117370892,0.7466124598106247,0.8568075117370892,0.6192724098458939,0.8568075117370892,4260,,,,,,,,
29,relbert_output/ckpt/roberta_auto_c923/epoch_2,3,ROOT09,0.9019116264493889,0.8996955932159567,0.9019116264493889,0.8997153712461851,0.9019116264493889,0.899778989355997,0.9019116264493889,3191,0.9012539184952978,0.8949665631888369,0.9012539184952978,0.8963039835185954,0.9012539184952978,0.8936964898317853,0.9012539184952978,638.0
30,relbert_output/ckpt/roberta_auto_c932/epoch_2,6,BLESS,0.9166792225403043,0.9157547868358552,0.9166792225403043,0.9073436186085475,0.9166792225403043,0.927159924971669,0.9166792225403043,6637,0.9148455162019593,0.9059121452340991,0.9148455162019593,0.896104451279208,0.9148455162019593,0.9195080951281877,0.9148455162019593,1327.0
31,relbert_output/ckpt/roberta_auto_c932/epoch_2,4,K&H+N,0.9690477846560479,0.9046846146469026,0.9690477846560479,0.9006699701473326,0.9690477846560479,0.9091518804904117,0.9690477846560479,14377,0.9627955493741307,0.8809494664535418,0.9627955493741307,0.879434310607854,0.9627955493741307,0.8825844122873825,0.9627955493741307,2876.0
32,relbert_output/ckpt/roberta_auto_c932/epoch_2,7,EVALution,0.7009750812567714,0.6863730114782751,0.7009750812567714,0.6747150476491119,0.7009750812567714,0.722455568677408,0.7009750812567714,1846,0.7150537634408602,0.6744672576377327,0.7150537634408602,0.6708571624928865,0.7150537634408602,0.7102102608637564,0.7150537634408602,372.0
33,relbert_output/ckpt/roberta_auto_c932/epoch_2,5,CogALexV,0.8598591549295774,0.696137060468804,0.8598591549295774,0.7227184513031875,0.8598591549295774,0.675942089627852,0.8598591549295774,4260,,,,,,,,
34,relbert_output/ckpt/roberta_auto_c932/epoch_2,3,ROOT09,0.9059855844562833,0.9069503106029098,0.9059855844562832,0.899353366042405,0.9059855844562833,0.9180499458812298,0.9059855844562833,3191,0.9075235109717869,0.9053636508714112,0.9075235109717869,0.8997400119404911,0.9075235109717869,0.9120281368877171,0.9075235109717869,638.0
35,relbert_output/ckpt/roberta_auto_c933/epoch_2,6,BLESS,0.8841343980714178,0.8770661095169164,0.8841343980714178,0.9013383596196148,0.8841343980714178,0.863341695569475,0.8841343980714178,6637,0.880180859080633,0.8695693674533796,0.8801808590806331,0.8909188415010533,0.880180859080633,0.8574771206844449,0.880180859080633,1327.0
36,relbert_output/ckpt/roberta_auto_c933/epoch_2,4,K&H+N,0.95875356472143,0.8911685442474158,0.95875356472143,0.8981690310243781,0.95875356472143,0.885389559088632,0.95875356472143,14377,0.9568845618915159,0.8635983125548171,0.9568845618915159,0.8746600297038893,0.9568845618915159,0.8553051218583397,0.9568845618915159,2876.0
37,relbert_output/ckpt/roberta_auto_c933/epoch_2,7,EVALution,0.6592632719393283,0.6601560206943582,0.6592632719393283,0.6724942869102362,0.6592632719393283,0.6705442736187381,0.6592632719393283,1846,0.6612903225806451,0.6255408520639069,0.6612903225806451,0.6293839849405963,0.6612903225806451,0.6493076848851925,0.6612903225806451,372.0
38,relbert_output/ckpt/roberta_auto_c933/epoch_2,5,CogALexV,0.7643192488262911,0.6011429968478675,0.7643192488262912,0.5772108802654256,0.7643192488262911,0.6502224940466009,0.7643192488262911,4260,,,,,,,,
39,relbert_output/ckpt/roberta_auto_c933/epoch_2,3,ROOT09,0.8132246944531495,0.7706219976518849,0.8132246944531495,0.8736533965944143,0.8132246944531495,0.7617268736629529,0.8132246944531495,3191,0.8025078369905956,0.7353474372888161,0.8025078369905956,0.8651711031573731,0.8025078369905956,0.7284404176494839,0.8025078369905956,638.0
0,relbert_output/ckpt/roberta_auto_d822/epoch_2,6,BLESS,0.4532168148259756,0.10395714532573008,0.4532168148259756,0.07553613580432926,0.4532168148259756,0.16666666666666666,0.4532168148259756,6637,0.4589299171062547,0.10485537190082644,0.4589299171062547,0.07648831951770911,0.4589299171062547,0.16666666666666666,0.4589299171062547,1327.0
1,relbert_output/ckpt/roberta_auto_d822/epoch_2,4,K&H+N,0.5485149892188913,0.28325302147911835,0.5485149892188913,0.27981263442091303,0.5485149892188913,0.303511564485318,0.5485149892188913,14377,0.5622392211404729,0.2890571154554715,0.5622392211404729,0.284878111114122,0.5622392211404729,0.3078827113480579,0.5622392211404729,2876.0
2,relbert_output/ckpt/roberta_auto_d822/epoch_2,7,EVALution,0.24864572047670638,0.0568949488689185,0.24864572047670638,0.03552081721095805,0.24864572047670638,0.14285714285714285,0.24864572047670638,1846,0.25268817204301075,0.05763335377069283,0.25268817204301075,0.03609831029185868,0.25268817204301075,0.14285714285714285,0.25268817204301075,372.0
3,relbert_output/ckpt/roberta_auto_d822/epoch_2,5,CogALexV,0.718075117370892,0.16718130892198388,0.718075117370892,0.1436150234741784,0.718075117370892,0.2,0.718075117370892,4260,,,,,,,,
4,relbert_output/ckpt/roberta_auto_d822/epoch_2,3,ROOT09,0.2557192102789094,0.1357624157723983,0.2557192102789094,0.08523973675963648,0.2557192102789094,0.3333333333333333,0.2557192102789094,3191,0.25391849529780564,0.135,0.25391849529780564,0.08463949843260188,0.25391849529780564,0.3333333333333333,0.25391849529780564,638.0
5,relbert_output/ckpt/roberta_auto_d823/epoch_2,6,BLESS,0.9062829591682989,0.899873190622838,0.906282959168299,0.9066838878302307,0.9062829591682989,0.8944341959835334,0.9062829591682989,6637,0.8990203466465713,0.8847991270505999,0.8990203466465713,0.8893469848936076,0.8990203466465713,0.8815776406784955,0.8990203466465713,1327.0
6,relbert_output/ckpt/roberta_auto_d823/epoch_2,4,K&H+N,0.9596577867427141,0.8831604325632452,0.9596577867427141,0.8823818387725022,0.9596577867427141,0.8881153179851868,0.9596577867427141,14377,0.9631432545201669,0.87729483091318,0.9631432545201669,0.8763579593312323,0.9631432545201669,0.8833856943386647,0.9631432545201669,2876.0
7,relbert_output/ckpt/roberta_auto_d823/epoch_2,7,EVALution,0.6560130010834236,0.6385682629463861,0.6560130010834236,0.6388380675200092,0.6560130010834236,0.6694598161507843,0.6560130010834236,1846,0.6801075268817204,0.6580351882644603,0.6801075268817204,0.6491666586412013,0.6801075268817204,0.700096919291448,0.6801075268817204,372.0
8,relbert_output/ckpt/roberta_auto_d823/epoch_2,5,CogALexV,0.8403755868544601,0.6602216644605471,0.8403755868544601,0.6878946129845864,0.8403755868544601,0.6367115103402511,0.8403755868544601,4260,,,,,,,,
9,relbert_output/ckpt/roberta_auto_d823/epoch_2,3,ROOT09,0.8896897524287057,0.889991270034823,0.8896897524287057,0.8861523782648314,0.8896897524287057,0.895482287590676,0.8896897524287057,3191,0.8808777429467085,0.8768907742752091,0.8808777429467085,0.8724180739654911,0.8808777429467085,0.8832392894779585,0.8808777429467085,638.0
10,relbert_output/ckpt/roberta_auto_d832/epoch_2,6,BLESS,0.4532168148259756,0.10395714532573008,0.4532168148259756,0.07553613580432926,0.4532168148259756,0.16666666666666666,0.4532168148259756,6637,0.4589299171062547,0.10485537190082644,0.4589299171062547,0.07648831951770911,0.4589299171062547,0.16666666666666666,0.4589299171062547,1327.0
