template_id,a,b,c,d,e,a,b,c,d,e
model,roberta-large,roberta-large,roberta-large,roberta-large,roberta-large,roberta-large,roberta-large,roberta-large,roberta-large,roberta-large
loss_function,triplet,triplet,triplet,triplet,triplet,nce,nce,nce,nce,nce
sat_full/test.forward,0.56951871657754,0.5508021390374331,0.5775401069518716,0.6818181818181818,0.56951871657754,0.6684491978609626,0.5962566844919787,0.6497326203208557,0.732620320855615,0.6203208556149733
sat/test.forward,0.56973293768546,0.543026706231454,0.5845697329376854,0.6884272997032641,0.5786350148367952,0.655786350148368,0.5964391691394659,0.6528189910979229,0.7359050445103857,0.6261127596439169
u2/test.forward,0.6008771929824561,0.5307017543859649,0.6710526315789473,0.6798245614035088,0.618421052631579,0.6140350877192983,0.5526315789473685,0.6359649122807017,0.6754385964912281,0.6403508771929824
u4/test.forward,0.6111111111111112,0.5810185185185185,0.6643518518518519,0.6481481481481481,0.5949074074074074,0.6134259259259259,0.5717592592592593,0.6064814814814815,0.6296296296296297,0.6157407407407407
google/test.forward,0.908,0.844,0.92,0.922,0.902,0.948,0.902,0.934,0.952,0.934
bats/test.forward,0.7426347971095053,0.763757643135075,0.7915508615897721,0.7837687604224569,0.7476375764313508,0.7943301834352418,0.7759866592551418,0.8265703168426903,0.8093385214007782,0.7787659811006115
t_rex_relational_similarity/test.forward,0.8363095238095238,0.8169642857142857,0.7872023809523809,0.7872023809523809,0.8288690476190477,0.5901639344262295,0.5901639344262295,0.6120218579234973,0.644808743169399,0.5081967213114754
conceptnet_relational_similarity/test.forward,0.5567765567765568,0.5604395604395604,0.5934065934065934,0.6190476190476191,0.5531135531135531,0.4463087248322148,0.3850671140939597,0.43288590604026844,0.4748322147651007,0.3674496644295302
sat/validation.forward,0.5675675675675675,0.6216216216216216,0.5135135135135135,0.6216216216216216,0.4864864864864865,0.7837837837837838,0.5945945945945946,0.6216216216216216,0.7027027027027027,0.5675675675675675
u2/validation.forward,0.5416666666666666,0.6666666666666666,0.6666666666666666,0.625,0.5,0.5416666666666666,0.5416666666666666,0.5833333333333334,0.625,0.625
u4/validation.forward,0.4375,0.5208333333333334,0.5625,0.5416666666666666,0.5,0.5416666666666666,0.6041666666666666,0.625,0.5625,0.5833333333333334
google/validation.forward,0.82,0.84,0.9,0.88,0.9,1.0,0.96,0.96,1.0,1.0
bats/validation.forward,0.6884422110552764,0.7437185929648241,0.7688442211055276,0.7889447236180904,0.7236180904522613,0.8492462311557789,0.8140703517587939,0.8542713567839196,0.8542713567839196,0.8241206030150754
semeval2012_relational_similarity/validation.forward,0.6835443037974683,0.7341772151898734,0.6835443037974683,0.7468354430379747,0.6708860759493671,0.7341772151898734,0.7341772151898734,0.7088607594936709,0.7468354430379747,0.7341772151898734
t_rex_relational_similarity/validation.forward,0.6730769230769231,0.6794871794871795,0.6709401709401709,0.6666666666666666,0.6773504273504274,0.2620967741935484,0.2540322580645161,0.2762096774193548,0.29435483870967744,0.2399193548387097
conceptnet_relational_similarity/validation.forward,0.5684210526315789,0.45789473684210524,0.5385964912280702,0.5947368421052631,0.5578947368421052,0.39388489208633093,0.33363309352517984,0.36960431654676257,0.37859712230215825,0.3183453237410072
sat_full/test.reverse,0.56951871657754,0.5508021390374331,0.5775401069518716,0.6818181818181818,0.56951871657754,0.6684491978609626,0.5962566844919787,0.6497326203208557,0.732620320855615,0.6203208556149733
sat/test.reverse,0.56973293768546,0.543026706231454,0.5845697329376854,0.6884272997032641,0.5786350148367952,0.655786350148368,0.5964391691394659,0.6528189910979229,0.7359050445103857,0.6261127596439169
u2/test.reverse,0.6008771929824561,0.5307017543859649,0.6710526315789473,0.6798245614035088,0.618421052631579,0.6140350877192983,0.5526315789473685,0.6359649122807017,0.6754385964912281,0.6403508771929824
u4/test.reverse,0.6111111111111112,0.5810185185185185,0.6643518518518519,0.6481481481481481,0.5949074074074074,0.6134259259259259,0.5717592592592593,0.6064814814814815,0.6296296296296297,0.6157407407407407
google/test.reverse,0.908,0.844,0.92,0.922,0.902,0.948,0.902,0.934,0.952,0.934
bats/test.reverse,0.7426347971095053,0.763757643135075,0.7915508615897721,0.7837687604224569,0.7476375764313508,0.7943301834352418,0.7759866592551418,0.8265703168426903,0.8093385214007782,0.7787659811006115
t_rex_relational_similarity/test.reverse,0.8363095238095238,0.8169642857142857,0.7872023809523809,0.7872023809523809,0.8288690476190477,0.5901639344262295,0.5901639344262295,0.6120218579234973,0.644808743169399,0.5081967213114754
conceptnet_relational_similarity/test.reverse,0.5567765567765568,0.5604395604395604,0.5934065934065934,0.6190476190476191,0.5531135531135531,0.4463087248322148,0.3850671140939597,0.43288590604026844,0.4748322147651007,0.3674496644295302
sat/validation.reverse,0.5675675675675675,0.6216216216216216,0.5135135135135135,0.6216216216216216,0.4864864864864865,0.7837837837837838,0.5945945945945946,0.6216216216216216,0.7027027027027027,0.5675675675675675
u2/validation.reverse,0.5416666666666666,0.6666666666666666,0.6666666666666666,0.625,0.5,0.5416666666666666,0.5416666666666666,0.5833333333333334,0.625,0.625
u4/validation.reverse,0.4375,0.5208333333333334,0.5625,0.5416666666666666,0.5,0.5416666666666666,0.6041666666666666,0.625,0.5625,0.5833333333333334
google/validation.reverse,0.82,0.84,0.9,0.88,0.9,1.0,0.96,0.96,1.0,1.0
bats/validation.reverse,0.6884422110552764,0.7437185929648241,0.7688442211055276,0.7889447236180904,0.7236180904522613,0.8492462311557789,0.8140703517587939,0.8542713567839196,0.8542713567839196,0.8241206030150754
semeval2012_relational_similarity/validation.reverse,0.6835443037974683,0.7341772151898734,0.6835443037974683,0.7468354430379747,0.6708860759493671,0.7341772151898734,0.7341772151898734,0.7088607594936709,0.7468354430379747,0.7341772151898734
t_rex_relational_similarity/validation.reverse,0.6730769230769231,0.6794871794871795,0.6709401709401709,0.6666666666666666,0.6773504273504274,0.2620967741935484,0.2540322580645161,0.2762096774193548,0.29435483870967744,0.2399193548387097
conceptnet_relational_similarity/validation.reverse,0.5684210526315789,0.45789473684210524,0.5385964912280702,0.5947368421052631,0.5578947368421052,0.39388489208633093,0.33363309352517984,0.36960431654676257,0.37859712230215825,0.3183453237410072
sat_full/test.bidirection,0.56951871657754,0.5508021390374331,0.5775401069518716,0.6818181818181818,0.56951871657754,0.6684491978609626,0.5962566844919787,0.6497326203208557,0.732620320855615,0.6203208556149733
sat/test.bidirection,0.56973293768546,0.543026706231454,0.5845697329376854,0.6884272997032641,0.5786350148367952,0.655786350148368,0.5964391691394659,0.6528189910979229,0.7359050445103857,0.6261127596439169
u2/test.bidirection,0.6008771929824561,0.5307017543859649,0.6710526315789473,0.6798245614035088,0.618421052631579,0.6140350877192983,0.5526315789473685,0.6359649122807017,0.6754385964912281,0.6403508771929824
u4/test.bidirection,0.6111111111111112,0.5810185185185185,0.6643518518518519,0.6481481481481481,0.5949074074074074,0.6134259259259259,0.5717592592592593,0.6064814814814815,0.6296296296296297,0.6157407407407407
google/test.bidirection,0.908,0.844,0.92,0.922,0.902,0.948,0.902,0.934,0.952,0.934
bats/test.bidirection,0.7426347971095053,0.763757643135075,0.7915508615897721,0.7837687604224569,0.7476375764313508,0.7943301834352418,0.7759866592551418,0.8265703168426903,0.8093385214007782,0.7787659811006115
t_rex_relational_similarity/test.bidirection,0.8363095238095238,0.8169642857142857,0.7872023809523809,0.7872023809523809,0.8288690476190477,0.5901639344262295,0.5901639344262295,0.6120218579234973,0.644808743169399,0.5081967213114754
conceptnet_relational_similarity/test.bidirection,0.5567765567765568,0.5604395604395604,0.5934065934065934,0.6190476190476191,0.5531135531135531,0.4463087248322148,0.3850671140939597,0.43288590604026844,0.4748322147651007,0.3674496644295302
sat/validation.bidirection,0.5675675675675675,0.6216216216216216,0.5135135135135135,0.6216216216216216,0.4864864864864865,0.7837837837837838,0.5945945945945946,0.6216216216216216,0.7027027027027027,0.5675675675675675
u2/validation.bidirection,0.5416666666666666,0.6666666666666666,0.6666666666666666,0.625,0.5,0.5416666666666666,0.5416666666666666,0.5833333333333334,0.625,0.625
u4/validation.bidirection,0.4375,0.5208333333333334,0.5625,0.5416666666666666,0.5,0.5416666666666666,0.6041666666666666,0.625,0.5625,0.5833333333333334
google/validation.bidirection,0.82,0.84,0.9,0.88,0.9,1.0,0.96,0.96,1.0,1.0
bats/validation.bidirection,0.6884422110552764,0.7437185929648241,0.7688442211055276,0.7889447236180904,0.7236180904522613,0.8492462311557789,0.8140703517587939,0.8542713567839196,0.8542713567839196,0.8241206030150754
semeval2012_relational_similarity/validation.bidirection,0.6835443037974683,0.7341772151898734,0.6835443037974683,0.7468354430379747,0.6708860759493671,0.7341772151898734,0.7341772151898734,0.7088607594936709,0.7468354430379747,0.7341772151898734
t_rex_relational_similarity/validation.bidirection,0.6730769230769231,0.6794871794871795,0.6709401709401709,0.6666666666666666,0.6773504273504274,0.2620967741935484,0.2540322580645161,0.2762096774193548,0.29435483870967744,0.2399193548387097
conceptnet_relational_similarity/validation.bidirection,0.5684210526315789,0.45789473684210524,0.5385964912280702,0.5947368421052631,0.5578947368421052,0.39388489208633093,0.33363309352517984,0.36960431654676257,0.37859712230215825,0.3183453237410072
BLESS,0.9059816182009944,0.9038722314298628,0.9025161970769926,0.9210486665662196,0.9026668675606448,0.9162272110893476,0.9053789362663854,0.9240620762392647,0.9199939731806539,0.9213500075335241
CogALexV,0.8582159624413146,0.855868544600939,0.8798122065727699,0.8685446009389672,0.8607981220657277,0.8532863849765259,0.8535211267605634,0.8697183098591549,0.8497652582159625,0.8551643192488263
EVALution,0.69068255687974,0.6776814734561214,0.7058504875406284,0.695557963163597,0.6917659804983749,0.6912242686890574,0.6695557963163596,0.7145178764897074,0.6836403033586133,0.6966413867822319
K&H+N,0.9632051192877513,0.9652917854907144,0.9689086735758503,0.9581971204006399,0.9673088961535786,0.9558322320372817,0.9561800097377756,0.9645266745496279,0.9563191208179731,0.9565973429783682
ROOT09,0.8890629896584142,0.8890629896584142,0.9003447195236602,0.8940770918207458,0.8975242870573488,0.898464431212786,0.8815418364149169,0.9169539329363836,0.9041052961454089,0.8962707615167659
relation_mapping_accuracy,0.7644642857142857,0.8184523809523809,0.7941071428571429,0.8682936507936508,0.8003373015873015,0.788234126984127,0.844047619047619,0.7419444444444444,0.8049007936507937,0.9067460317460317
