model,sat/test,sat/valid,u2/test,u2/valid,u4/test,u4/valid,google/test,google/valid,bats/test,bats/valid,sat_full,loss
relbert_output/ckpt/nce/template-c.random-0/model,0.7062314540059347,0.7027027027027027,0.6403508771929824,0.5416666666666666,0.6342592592592593,0.6666666666666666,0.946,1.0,0.8054474708171206,0.8090452261306532,0.7058823529411765,133.0455740486413
relbert_output/ckpt/nce/template-b.random-0/model,0.7091988130563798,0.6756756756756757,0.6578947368421053,0.625,0.6527777777777778,0.5833333333333334,0.942,0.96,0.7982212340188994,0.8592964824120602,0.7058823529411765,135.11973865406608
relbert_output/ckpt/nce/template-d.random-0/model,0.7091988130563798,0.7027027027027027,0.6447368421052632,0.5833333333333334,0.6412037037037037,0.6666666666666666,0.958,1.0,0.8082267926625903,0.8442211055276382,0.7085561497326203,136.12313934145732
relbert_output/ckpt/nce/template-a.random-0/model,0.712166172106825,0.7567567567567568,0.631578947368421,0.625,0.6273148148148148,0.6666666666666666,0.94,0.96,0.7898832684824902,0.8542713567839196,0.7165775401069518,136.67836353633803
relbert_output/ckpt/nce/template-e.random-0/model,0.712166172106825,0.7027027027027027,0.6403508771929824,0.5416666666666666,0.6365740740740741,0.5833333333333334,0.934,0.98,0.7959977765425236,0.8090452261306532,0.7112299465240641,137.57321664977692
relbert_output/ckpt/triplet/template-c.random-0/model,0.5637982195845698,0.6216216216216216,0.5745614035087719,0.5833333333333334,0.6111111111111112,0.5,0.92,0.92,0.7971095052807116,0.7939698492462312,0.56951871657754,161.98598098754883
relbert_output/ckpt/triplet/template-e.random-0/model,0.6320474777448071,0.4864864864864865,0.631578947368421,0.625,0.5856481481481481,0.5833333333333334,0.884,0.9,0.7776542523624236,0.8040201005025126,0.6176470588235294,166.61173820495605
relbert_output/ckpt/triplet/template-d.random-0/model,0.6765578635014837,0.7027027027027027,0.6798245614035088,0.5416666666666666,0.6319444444444444,0.5833333333333334,0.942,0.96,0.7887715397443024,0.8090452261306532,0.679144385026738,191.59045219421387
relbert_output/ckpt/triplet/template-a.random-0/model,0.5578635014836796,0.5945945945945946,0.5745614035087719,0.4166666666666667,0.5856481481481481,0.5625,0.864,0.84,0.6803779877709839,0.6633165829145728,0.5614973262032086,205.00897598266602
relbert_output/ckpt/triplet/template-b.random-0/model,0.5252225519287834,0.5135135135135135,0.5701754385964912,0.5416666666666666,0.5763888888888888,0.5208333333333334,0.876,0.88,0.7698721511951084,0.7688442211055276,0.5240641711229946,259.2675724029541